标题： 大爆炸1-11季。中英字。⬇️取 	 链接：http://tieba.baidu.com//p/5702887048 	 发帖人：你的小掰呀 	 发帖时间：5-17 	 回复数量： 1219 
标题： 掙錢的來 	 链接：http://tieba.baidu.com//p/5715682552 	 发帖人：贵鎈舨彻... 	 发帖时间：15:25 	 回复数量： 0 
标题： Caroline”看到《生活大爆炸》剧本后。。。 	 链接：http://tieba.baidu.com//p/5713979157 	 发帖人：猫咪不吃... 	 发帖时间：5-24 	 回复数量： 5 
标题： 大家都没有看到小谢耳朵后面的大爆炸特别集预告吗？？ 	 链接：http://tieba.baidu.com//p/5699485153 	 发帖人：习惯的45... 	 发帖时间：5-15 	 回复数量： 3 
标题： 帶妳掙錢 	 链接：http://tieba.baidu.com//p/5715471439 	 发帖人：御用小黄袍 	 发帖时间：12:55 	 回复数量： 0 
标题： S10E09片段中的奇怪声音求一个reason 	 链接：http://tieba.baidu.com//p/5501634083 	 发帖人：旺旺旺仔啊 	 发帖时间：1-3 	 回复数量： 10 
标题： 今天重看刚刚发现，不知大家以前注意到没有(墙上） 	 链接：http://tieba.baidu.com//p/5714600675 	 发帖人：fate倩女幽魂 	 发帖时间：5-24 	 回复数量： 3 
标题： * 生活大爆炸第十一季完结！结婚啦！幸福** 	 链接：http://tieba.baidu.com//p/5704340420 	 发帖人：hacaojianye 	 发帖时间：5-18 	 回复数量： 7 
标题： 有没有人跟我一样，从第一季追到第七季，还是不会唱主题曲。 	 链接：http://tieba.baidu.com//p/2992052791 	 发帖人：半夏a光年 	 发帖时间：2014-04 	 回复数量： 312 
标题： Sheldon对自己的专座（SPOT）宣誓“主权”！（转载） 	 链接：http://tieba.baidu.com//p/5715240761 	 发帖人：猫咪不吃... 	 发帖时间：10:11 	 回复数量： 0 
标题： Cooper & mini Cooper！ 	 链接：http://tieba.baidu.com//p/5715233650 	 发帖人：猫咪不吃... 	 发帖时间：10:06 	 回复数量： 0 
标题： 來錢 項目 	 链接：http://tieba.baidu.com//p/5715164899 	 发帖人：儱噯昒葅... 	 发帖时间：09:13 	 回复数量： 0 
标题： 美国人真的和美剧那样对性很开放吗 	 链接：http://tieba.baidu.com//p/4996059425 	 发帖人：姬月漓 	 发帖时间：2017-02 	 回复数量： 16 
标题： 超喜欢克莱尔 	 链接：http://tieba.baidu.com//p/4693710894 	 发帖人：踩着聚... 	 发帖时间：2016-07 	 回复数量： 87 
标题： 我只想问 他们经常吃的那种红色条状的糖是什么 	 链接：http://tieba.baidu.com//p/1232345830 	 发帖人：板女之友 	 发帖时间：2013-01 	 回复数量： 57 
标题： 教亲们简单滴，掙买烟錢~ 	 链接：http://tieba.baidu.com//p/5715050415 	 发帖人：小师呼 	 发帖时间：06:42 	 回复数量： 0 
标题： 帶妳掙錢 	 链接：http://tieba.baidu.com//p/5715036645 	 发帖人：uoa棕翙袁质 	 发帖时间：06:13 	 回复数量： 0 
标题： 521！一起吃吃当年谢耳朵的狗粮吧 	 链接：http://tieba.baidu.com//p/5709872846 	 发帖人：流印Nian 	 发帖时间：5-21 	 回复数量： 6 
标题： 求，第九季资源 	 链接：http://tieba.baidu.com//p/5714565561 	 发帖人：小2果果小... 	 发帖时间：5-24 	 回复数量： 2 
标题： 细数大爆炸里的客串美女们 	 链接：http://tieba.baidu.com//p/2327931214 	 发帖人：西眺的终点 	 发帖时间：2013-10 	 回复数量： 467 
标题： 来个吊大的给个11季资源啊 	 链接：http://tieba.baidu.com//p/5714413305 	 发帖人：雨中看雨h... 	 发帖时间：5-24 	 回复数量： 1 
标题： 请问是季终了还是剧终了 	 链接：http://tieba.baidu.com//p/5713835688 	 发帖人：敏小帅zmm 	 发帖时间：5-24 	 回复数量： 1 
标题： 生活大爆炸 斯图尔特这个店员看起来有些眼熟。之前是不是出现过 	 链接：http://tieba.baidu.com//p/5698504465 	 发帖人：坑坑疯子 	 发帖时间：5-14 	 回复数量： 8 
标题： 谢尔顿的妹妹是做什么工作的？ 	 链接：http://tieba.baidu.com//p/5695464669 	 发帖人：万里江南... 	 发帖时间：5-12 	 回复数量： 11 
标题： 异地恋怎么做才能让男朋友安心？ 	 链接：http://tieba.baidu.com//p/5714333798 	 发帖人：热情有限... 	 发帖时间：5-24 	 回复数量： 0 
标题： 【生活大爆炸】TBBT S11E16 	 链接：http://tieba.baidu.com//p/5585492686 	 发帖人：玺子 	 发帖时间：3-9 	 回复数量： 38 
标题： 开个帖，记录一下截屏的图，以后拿来发朋友圈 	 链接：http://tieba.baidu.com//p/5555207140 	 发帖人：Tony 	 发帖时间：2-17 	 回复数量： 67 
标题： 想挣大钱哥们们来了解一下 	 链接：http://tieba.baidu.com//p/5714216209 	 发帖人：客户的从... 	 发帖时间：5-24 	 回复数量： 0 
标题： 小谢尔顿的爸爸居然是他的恶霸同学演的 	 链接：http://tieba.baidu.com//p/5426452366 	 发帖人：诅咒未遂 	 发帖时间：2017-11 	 回复数量： 6 
标题： 这是唯一一篇有关super asymmety的文章 	 链接：http://tieba.baidu.com//p/5714088056 	 发帖人：定改概脱离 	 发帖时间：5-24 	 回复数量： 1 
标题： 有知道色色碰的吗 	 链接：http://tieba.baidu.com//p/5713992634 	 发帖人：回忆f夕阳... 	 发帖时间：5-24 	 回复数量： 0 
标题： 九年了，为什么电梯还没修好。。？ 	 链接：http://tieba.baidu.com//p/5114923628 	 发帖人：ScorpioX天蝎 	 发帖时间：2017-05 	 回复数量： 4 
标题： 惊了！谢尔顿居然没坐在他的专座上！ 	 链接：http://tieba.baidu.com//p/5551044576 	 发帖人：太宰疲 	 发帖时间：2-13 	 回复数量： 18 
标题： 虽然谢耳朵出柜了，可是依然还是好喜欢啊。 	 链接：http://tieba.baidu.com//p/5680013820 	 发帖人：我要捧个... 	 发帖时间：5-3 	 回复数量： 13 
标题： 谢尔顿跟伯纳德好像没有说过他们是哪个学校毕业的 	 链接：http://tieba.baidu.com//p/5377195861 	 发帖人：夏之风winding 	 发帖时间：2017-10 	 回复数量： 10 
标题： 求 	 链接：http://tieba.baidu.com//p/5711224716 	 发帖人：大爆炸迷 	 发帖时间：5-22 	 回复数量： 1 
标题： 用手机版的模拟人生粗粗捏了几个主角哈哈 	 链接：http://tieba.baidu.com//p/5687090481 	 发帖人：爱阿狸的... 	 发帖时间：5-7 	 回复数量： 7 
标题： 求问，生活大爆炸不会就完结了吧？？？会有十二季……的吧？ 	 链接：http://tieba.baidu.com//p/5694710972 	 发帖人：a姬君长生 	 发帖时间：5-11 	 回复数量： 13 
标题： 【TBBT】《生活大爆炸》第十一季熟肉 	 链接：http://tieba.baidu.com//p/5545877734 	 发帖人：玺子 	 发帖时间：2-9 	 回复数量： 200 
标题： 有纽约的小伙伴约一下百老汇吗？ 	 链接：http://tieba.baidu.com//p/5713444904 	 发帖人：谢耳朵的... 	 发帖时间：5-24 	 回复数量： 0 
标题： 谢尔顿和佩妮才是绝配！ 	 链接：http://tieba.baidu.com//p/5700032677 	 发帖人：琥珀白 	 发帖时间：5-15 	 回复数量： 18 
标题： 太可怕了 	 链接：http://tieba.baidu.com//p/5712212886 	 发帖人：是你的辣... 	 发帖时间：5-23 	 回复数量： 2 
标题： 求男大当婚资源，求大神分享。 	 链接：http://tieba.baidu.com//p/5712825107 	 发帖人：123交枪456投降 	 发帖时间：5-23 	 回复数量： 0 
标题： 霍华德：MMP 	 链接：http://tieba.baidu.com//p/5712851460 	 发帖人：sgcrwaqaq 	 发帖时间：5-23 	 回复数量： 0 
标题： 废了好大劲截了谢耳朵NG的花絮里的笑，天呢，开心开心 	 链接：http://tieba.baidu.com//p/5533140961 	 发帖人：是南国啊 	 发帖时间：1-29 	 回复数量： 10 
标题： 说起来谢尔顿的外婆也没有出席婚礼 	 链接：http://tieba.baidu.com//p/5698489964 	 发帖人：桂人风流 	 发帖时间：5-14 	 回复数量： 15 
标题： 请问Sheldon说他最喜欢Lisa Simpons 是哪一 	 链接：http://tieba.baidu.com//p/5712496152 	 发帖人：阿舒哦是你 	 发帖时间：5-23 	 回复数量： 0 
标题： 吐槽一把，顺便推荐大家点儿书 	 链接：http://tieba.baidu.com//p/5663747362 	 发帖人：wb311425 	 发帖时间：4-23 	 回复数量： 18 
标题： 嗯 我知道耳朵要穿哪件衣服结婚了 	 链接：http://tieba.baidu.com//p/5675595328 	 发帖人：Kredom 	 发帖时间：4-30 	 回复数量： 18 
标题： 噢，看看这是哪位大美女 	 链接：http://tieba.baidu.com//p/5676208793 	 发帖人：阿尔萨斯... 	 发帖时间：4-30 	 回复数量： 5 
标题： 初来乍到 感谢有TBBT陪伴的大半年 好不容易追到了第五季 	 链接：http://tieba.baidu.com//p/5357226888 	 发帖人：飞起来的... 	 发帖时间：2017-10 	 回复数量： 7 
标题： 请问这是第几季第几集的场景哇？敲门：谢耳朵：莱纳德，莱纳德， 	 链接：http://tieba.baidu.com//p/5681517346 	 发帖人：十螺酥 	 发帖时间：5-3 	 回复数量： 10 
标题： 你们注意到，谢耳朵公寓有个备用白板了嘛？你们注意到，谢耳朵的 	 链接：http://tieba.baidu.com//p/5706159320 	 发帖人：外语外贸... 	 发帖时间：5-19 	 回复数量： 15 
标题： 永不完结，爱死他们了。 	 链接：http://tieba.baidu.com//p/5691167065 	 发帖人：阴沉的星空 	 发帖时间：5-9 	 回复数量： 9 
标题： 难道只有我一个刚刚知道谢耳朵是gay吗？ 	 链接：http://tieba.baidu.com//p/5162459164 	 发帖人：云菲天2016 	 发帖时间：2017-06 	 回复数量： 9 
标题： 三个月，sheldon的头发怎么没见长 	 链接：http://tieba.baidu.com//p/5682671799 	 发帖人：Leew 	 发帖时间：5-4 	 回复数量： 3 
标题： 谢耳朵结婚为什么不请莱纳德的妈妈？ 	 链接：http://tieba.baidu.com//p/5698324812 	 发帖人：huxsh 	 发帖时间：5-14 	 回复数量： 9 
标题： 这个彩蛋很多人没看过吧，我也是偶然看见，关于霍金，很暖了ht 	 链接：http://tieba.baidu.com//p/5698979649 	 发帖人：南方小铁匠 	 发帖时间：5-14 	 回复数量： 2 
标题： 有知道色色碰的吗 	 链接：http://tieba.baidu.com//p/5711785162 	 发帖人：草莓罒U罒... 	 发帖时间：5-23 	 回复数量： 0 
标题： 确定12季是最终季了吗？ 	 链接：http://tieba.baidu.com//p/5711725515 	 发帖人：茉莉梦梦 	 发帖时间：5-23 	 回复数量： 0 
标题： 大爆炸经典词汇，不知道就别说看过大爆炸 	 链接：http://tieba.baidu.com//p/5093910844 	 发帖人：工藤新二 	 发帖时间：2017-04 	 回复数量： 17 
标题： 谢耳朵36岁了，有6.5万刀的存款... 	 链接：http://tieba.baidu.com//p/5681716252 	 发帖人：俺说要有光 	 发帖时间：5-3 	 回复数量： 34 
标题： 刚看完S11 E24…真的笑点和泪点都有 看到Sheldon 	 链接：http://tieba.baidu.com//p/5694947546 	 发帖人：Bang 	 发帖时间：5-11 	 回复数量： 24 
标题： 你会选哪个？ 	 链接：http://tieba.baidu.com//p/5101529483 	 发帖人：生蚝养殖... 	 发帖时间：2017-05 	 回复数量： 19 
标题： 我的人物设计和制作 	 链接：http://tieba.baidu.com//p/4788526595 	 发帖人：新日落 	 发帖时间：2016-09 	 回复数量： 73 
标题： 少年谢尔顿 小谢耳朵的爸爸竟然也出现过生活大爆炸里面 	 链接：http://tieba.baidu.com//p/5703827582 	 发帖人：你怎么不... 	 发帖时间：5-17 	 回复数量： 2 
标题： 周立波曾批三玄道师，我不迷信所谓的洁就是劫。 	 链接：http://tieba.baidu.com//p/5710815341 	 发帖人：a明天会... 	 发帖时间：5-22 	 回复数量： 0 
标题： 你们说一句话形容因为我现在无话可说只想哭 	 链接：http://tieba.baidu.com//p/5695075705 	 发帖人：QJIAOHUA 	 发帖时间：5-12 	 回复数量： 6 
标题： 请问这是哪集？ 	 链接：http://tieba.baidu.com//p/5143563809 	 发帖人：拆包菜鸟 	 发帖时间：2017-06 	 回复数量： 67 
标题： 昨天才抽时间看了最后一集 	 链接：http://tieba.baidu.com//p/5703180491 	 发帖人：阿懂story 	 发帖时间：5-17 	 回复数量： 24 
标题： 《生活大爆炸》主角们的婚礼 	 链接：http://tieba.baidu.com//p/5697729648 	 发帖人：亚克西 	 发帖时间：5-13 	 回复数量： 2 
标题： 这最后一集看得我心情复杂 	 链接：http://tieba.baidu.com//p/5694885345 	 发帖人：亚克西 	 发帖时间：5-11 	 回复数量： 4 
标题： 莱呆 你还记得伴郎的职责吗！ 	 链接：http://tieba.baidu.com//p/5695623386 	 发帖人：Kredom 	 发帖时间：5-12 	 回复数量： 5 
标题： 【重温发现谢尔顿瘦的太可怕了！】 	 链接：http://tieba.baidu.com//p/5710165375 	 发帖人：路人让 	 发帖时间：5-22 	 回复数量： 0 
标题： 你总是知道我最需要的是什么* 	 链接：http://tieba.baidu.com//p/5702895014 	 发帖人：Kredom 	 发帖时间：5-17 	 回复数量： 2 
标题： 有人知道这是哪一集吗求求了 	 链接：http://tieba.baidu.com//p/5709807119 	 发帖人：moonem 	 发帖时间：5-21 	 回复数量： 4 
标题： 跳着看还是怎么看 	 链接：http://tieba.baidu.com//p/5709855650 	 发帖人：黑暗议会... 	 发帖时间：5-21 	 回复数量： 1 
标题： 我发表了一篇视频贴，大伙来看看吧~ 	 链接：http://tieba.baidu.com//p/5709756763 	 发帖人：牛强Cvgnm 	 发帖时间：5-21 	 回复数量： 0 
标题： 生活中的莱纳德到底是什么性格呀？看到一个生活大爆炸的收官视频 	 链接：http://tieba.baidu.com//p/5709084642 	 发帖人：隐匿113 	 发帖时间：5-21 	 回复数量： 2 
标题： 哎呦喂 Shamy的婚礼甜死了！！！真是影帝影后水准啊看的我 	 链接：http://tieba.baidu.com//p/5694827210 	 发帖人：AlexT1111 	 发帖时间：5-11 	 回复数量： 13 
标题： 大家好 	 链接：http://tieba.baidu.com//p/5705026702 	 发帖人：大熊爱静... 	 发帖时间：5-18 	 回复数量： 1 
标题： 《生活大爆炸》在某种程度上给了我一种感，而这其中关于美漫和游 	 链接：http://tieba.baidu.com//p/5696345817 	 发帖人：影视女王 	 发帖时间：5-12 	 回复数量： 1 
标题： 佩妮对谢尔顿真好，完美的控制住了婚礼现场 	 链接：http://tieba.baidu.com//p/5695574764 	 发帖人：小河边上... 	 发帖时间：5-12 	 回复数量： 6 
标题： 莱纳德演 午夜凶铃去了 	 链接：http://tieba.baidu.com//p/5090389171 	 发帖人：见法⊙螺... 	 发帖时间：2017-04 	 回复数量： 4 
标题： 非黑贴，谢耳朵和amy 亲嘴，耳朵本人是什么感觉？ 	 链接：http://tieba.baidu.com//p/5136484500 	 发帖人：Fung 	 发帖时间：2017-05 	 回复数量： 6 
标题： 震惊！youtube上竟然有真正的fun with flags 	 链接：http://tieba.baidu.com//p/5114581863 	 发帖人：超级小小... 	 发帖时间：2017-05 	 回复数量： 30 
标题： 拉杰之前认识的克莱尔妹纸在另一部剧里，客串过 	 链接：http://tieba.baidu.com//p/5139841492 	 发帖人：耳朵Moonpie 	 发帖时间：2017-05 	 回复数量： 45 
标题： 结婚超激动！！！ 	 链接：http://tieba.baidu.com//p/5700977622 	 发帖人：chao黎奶奶 	 发帖时间：5-15 	 回复数量： 3 
标题： 520：Sheldon表白Amy，这个等了很久，大家怎么看？ 	 链接：http://tieba.baidu.com//p/5708340870 	 发帖人：玩转美剧... 	 发帖时间：5-20 	 回复数量： 0 
标题： 看了young sheldon第一集有感（慎剧透） 	 链接：http://tieba.baidu.com//p/5344100830 	 发帖人：Fung 	 发帖时间：2017-09 	 回复数量： 15 
标题： 分享：原贴已被屏蔽或删除。 	 链接：http://tieba.baidu.com//p/5707994943 	 发帖人：脸美灬比... 	 发帖时间：5-20 	 回复数量： 0 
标题： 我能说我全剧现在最期待的就是看见howhoward爸爸吗 	 链接：http://tieba.baidu.com//p/5707672622 	 发帖人：kbhy 	 发帖时间：5-20 	 回复数量： 3 
标题： 蝙蝠侠来谢耳朵家串门了~ 	 链接：http://tieba.baidu.com//p/5366899779 	 发帖人：耳朵Moonpie 	 发帖时间：2017-10 	 回复数量： 7 
标题： 父老乡亲 	 链接：http://tieba.baidu.com//p/5707915553 	 发帖人：我是小雨... 	 发帖时间：5-20 	 回复数量： 0 
标题： 看完结婚这一集了，就想问问，还有下一季吗？ 	 链接：http://tieba.baidu.com//p/5694211443 	 发帖人：盘子会唱歌6 	 发帖时间：5-11 	 回复数量： 4 
标题： 和女朋友的那些事，废话不说先上图 	 链接：http://tieba.baidu.com//p/5021020508 	 发帖人：乐巢会俱... 	 发帖时间：2017-03 	 回复数量： 9 
标题： 这是不是暗示tbbt第十二季小小谢耳朵会上场 	 链接：http://tieba.baidu.com//p/5695322597 	 发帖人：细菌也疯狂 	 发帖时间：5-12 	 回复数量： 6 
标题： 谈恋爱对于男人来说，意味着什么？ 	 链接：http://tieba.baidu.com//p/5707377121 	 发帖人：秦明轩jjj 	 发帖时间：5-20 	 回复数量： 0 
标题： 一个苦苦等待第十一季的姑娘 	 链接：http://tieba.baidu.com//p/5254406694 	 发帖人：Kathyy 	 发帖时间：2017-08 	 回复数量： 15 
标题： 梳理主角人物关系。。。 	 链接：http://tieba.baidu.com//p/4996993367 	 发帖人：炎麟大帝 	 发帖时间：2017-02 	 回复数量： 12 
标题： 《生活大爆炸》S11：永不凋零的成长 	 链接：http://tieba.baidu.com//p/5704006740 	 发帖人：opllx的影子 	 发帖时间：5-17 	 回复数量： 21 
标题： 耳朵激动的样子真是萌翻了 	 链接：http://tieba.baidu.com//p/5695623400 	 发帖人：Kredom 	 发帖时间：5-12 	 回复数量： 1 
标题： 为什么我记得莱纳德说过谢耳朵不是亲生的 	 链接：http://tieba.baidu.com//p/5707143562 	 发帖人：搽菀 	 发帖时间：5-20 	 回复数量： 0 
标题： 求好人分享第五季的资源 	 链接：http://tieba.baidu.com//p/5707063999 	 发帖人：啊浪来啦 	 发帖时间：5-19 	 回复数量： 1 
标题： 第九季第八集，那个女的是谁啊， 	 链接：http://tieba.baidu.com//p/5243216737 	 发帖人：想了一个... 	 发帖时间：2017-07 	 回复数量： 15 
标题： 人人视频是不是抽风了 	 链接：http://tieba.baidu.com//p/5707077882 	 发帖人：zyxlpq 	 发帖时间：5-19 	 回复数量： 0 
标题： 哇哦，Bernie 好美！ 	 链接：http://tieba.baidu.com//p/5159370102 	 发帖人：漩盈 	 发帖时间：2017-06 	 回复数量： 11 
标题： 新人报道 	 链接：http://tieba.baidu.com//p/5706382164 	 发帖人：devil656 	 发帖时间：5-19 	 回复数量： 0 
标题： 这个里面的华裔妹子是谁？S01E07 	 链接：http://tieba.baidu.com//p/5679910780 	 发帖人：阳正高 	 发帖时间：5-2 	 回复数量： 3 
标题： 原来谢耳朵还在研究弦论 	 链接：http://tieba.baidu.com//p/5706185010 	 发帖人：将士1234 	 发帖时间：5-19 	 回复数量： 0 
标题： 【生活大爆炸音频】公共网盘正版下载 	 链接：http://tieba.baidu.com//p/1086885729 	 发帖人：喵侃L邂逅 	 发帖时间：2014-03 	 回复数量： 270 
标题： sheldon的增强版石头剪子布哦 	 链接：http://tieba.baidu.com//p/1986617017 	 发帖人：ramwin 	 发帖时间：2013-10 	 回复数量： 14 
标题： 【故事】20 年后只有 Stuart 只身赴约的可怕原因 	 链接：http://tieba.baidu.com//p/2922806579 	 发帖人：爱新觉罗... 	 发帖时间：2014-03 	 回复数量： 240 
标题： 【柯南秀NS字幕组】《生活大爆炸》200集 采访全集 [中字] 	 链接：http://tieba.baidu.com//p/4444857856 	 发帖人：Elipse_C 	 发帖时间：2016-03 	 回复数量： 15 
标题： 女王的皇冠有新款上市了吗？想买个与众不同的。 	 链接：http://tieba.baidu.com//p/5703848362 	 发帖人：过一天一块 	 发帖时间：5-17 	 回复数量： 1 
标题： 第一次大爆炸看哭从第三季到十一季 	 链接：http://tieba.baidu.com//p/5704789655 	 发帖人：summerlylyhah 	 发帖时间：5-18 	 回复数量： 2 
标题： 520，送给妈妈的礼物 	 链接：http://tieba.baidu.com//p/5704907903 	 发帖人：三骚 	 发帖时间：5-18 	 回复数量： 0 
标题： 对妈妈的话 	 链接：http://tieba.baidu.com//p/5701409460 	 发帖人：三骚 	 发帖时间：5-16 	 回复数量： 1 
标题： 原来早就说了Sheldon Amy要结婚 	 链接：http://tieba.baidu.com//p/5126099839 	 发帖人：lovegilgamesh 	 发帖时间：2017-05 	 回复数量： 4 
标题： 我就想知道为什么在这个贴吧发的帖子都莫名其妙被删? 	 链接：http://tieba.baidu.com//p/5703663410 	 发帖人：保罗和欧文 	 发帖时间：5-17 	 回复数量： 1 
标题： 分手后如何挽回感情？三玄道师教你挽回感情技巧！ 	 链接：http://tieba.baidu.com//p/5704336356 	 发帖人：a明天会... 	 发帖时间：5-18 	 回复数量： 0 
标题： 求问 	 链接：http://tieba.baidu.com//p/5689074376 	 发帖人：赵岚潇Harry 	 发帖时间：5-8 	 回复数量： 1 
